software,spearman,spearman_pvalue,>=R2
ant-1.7,0.289553748,0.01,0.95
ant-1.7,0.358623343,0.01,0.9
ant-1.7,0.393523319,0.01,0.85
ant-1.7,0.385328184,0.01,0.8
ant-1.7,0.394633423,0.01,0.75
ant-1.7,0.407277645,0.01,0.7
ant-1.7,0.407330622,0.01,0.65
ant-1.7,0.406062045,0.01,0.6
ant-1.7,0.406062045,0.01,0.55
ant-1.7,0.406062045,0.01,0.5
ant-1.7,0.406062045,0.01,0.45
ant-1.7,0.406062045,0.01,0.4
ant-1.7,0.406062045,0.01,0.35
ant-1.7,0.406062045,0.01,0.3
ant-1.7,0.406062045,0.01,0.25
ant-1.7,0.406062045,0.01,0.2
ant-1.7,0.406062045,0.01,0.15
ant-1.7,0.406062045,0.01,0.1
ant-1.7,0.406062045,0.01,0.05
ant-1.7,0.402338098,0.01,0
camel-1.0,0.205201949,0.01,0.95
camel-1.0,0.186848408,0.01,0.9
camel-1.0,0.196214115,0.01,0.85
camel-1.0,0.211168389,0.01,0.8
camel-1.0,0.199177,0.01,0.75
camel-1.0,0.193255503,0.01,0.7
camel-1.0,0.210111459,0.01,0.65
camel-1.0,0.208115874,0.01,0.6
camel-1.0,0.208048283,0.01,0.55
camel-1.0,0.208048283,0.01,0.5
camel-1.0,0.208048283,0.01,0.45
camel-1.0,0.208048283,0.01,0.4
camel-1.0,0.208048283,0.01,0.35
camel-1.0,0.208048283,0.01,0.3
camel-1.0,0.208048283,0.01,0.25
camel-1.0,0.208048283,0.01,0.2
camel-1.0,0.208048283,0.01,0.15
camel-1.0,0.208048283,0.01,0.1
camel-1.0,0.208048283,0.01,0.05
camel-1.0,0.20805427,0.01,0
ivy-2.0,0.175824324,0.01,0.95
ivy-2.0,0.223801073,0.01,0.9
ivy-2.0,0.260800942,0.01,0.85
ivy-2.0,0.277944215,0.01,0.8
ivy-2.0,0.289210038,0.01,0.75
ivy-2.0,0.287168712,0.01,0.7
ivy-2.0,0.286672852,0.01,0.65
ivy-2.0,0.286672852,0.01,0.6
ivy-2.0,0.286672852,0.01,0.55
ivy-2.0,0.284651877,0.01,0.5
ivy-2.0,0.284651877,0.01,0.45
ivy-2.0,0.284651877,0.01,0.4
ivy-2.0,0.284651877,0.01,0.35
ivy-2.0,0.284651877,0.01,0.3
ivy-2.0,0.284651877,0.01,0.25
ivy-2.0,0.284651877,0.01,0.2
ivy-2.0,0.284651877,0.01,0.15
ivy-2.0,0.284651877,0.01,0.1
ivy-2.0,0.284651877,0.01,0.05
ivy-2.0,0.287346621,0.01,0
jedit-4.2,0.29926371,0.01,0.95
jedit-4.2,0.291076482,0.01,0.9
jedit-4.2,0.335028794,0.01,0.85
jedit-4.2,0.343836579,0.01,0.8
jedit-4.2,0.349373764,0.01,0.75
jedit-4.2,0.353019512,0.01,0.7
jedit-4.2,0.360895195,0.01,0.65
jedit-4.2,0.372521389,0.01,0.6
jedit-4.2,0.372521389,0.01,0.55
jedit-4.2,0.372521389,0.01,0.5
jedit-4.2,0.372521389,0.01,0.45
jedit-4.2,0.372521389,0.01,0.4
jedit-4.2,0.372521389,0.01,0.35
jedit-4.2,0.372521389,0.01,0.3
jedit-4.2,0.372521389,0.01,0.25
jedit-4.2,0.372521389,0.01,0.2
jedit-4.2,0.372521389,0.01,0.15
jedit-4.2,0.372521389,0.01,0.1
jedit-4.2,0.372521389,0.01,0.05
jedit-4.2,0.372466852,0.01,0
lucene-2.2,0.070666538,None,0.95
lucene-2.2,0.111533069,None,0.9
lucene-2.2,0.187240564,0.01,0.85
lucene-2.2,0.206842021,0.01,0.8
lucene-2.2,0.223314132,0.01,0.75
lucene-2.2,0.226369065,0.01,0.7
lucene-2.2,0.226369065,0.01,0.65
lucene-2.2,0.226369065,0.01,0.6
lucene-2.2,0.226369065,0.01,0.55
lucene-2.2,0.226369065,0.01,0.5
lucene-2.2,0.226369065,0.01,0.45
lucene-2.2,0.226369065,0.01,0.4
lucene-2.2,0.226369065,0.01,0.35
lucene-2.2,0.226369065,0.01,0.3
lucene-2.2,0.226369065,0.01,0.25
lucene-2.2,0.226369065,0.01,0.2
lucene-2.2,0.226369065,0.01,0.15
lucene-2.2,0.226369065,0.01,0.1
lucene-2.2,0.226369065,0.01,0.05
lucene-2.2,0.223041369,0.01,0
poi-2.0,0.072100582,None,0.95
poi-2.0,0.095713265,None,0.9
poi-2.0,0.107060842,None,0.85
poi-2.0,0.113744641,None,0.8
poi-2.0,0.109939029,None,0.75
poi-2.0,0.108756038,None,0.7
poi-2.0,0.107532475,None,0.65
poi-2.0,0.107532475,None,0.6
poi-2.0,0.107532475,None,0.55
poi-2.0,0.107532475,None,0.5
poi-2.0,0.107532475,None,0.45
poi-2.0,0.107532475,None,0.4
poi-2.0,0.107532475,None,0.35
poi-2.0,0.107532475,None,0.3
poi-2.0,0.107532475,None,0.25
poi-2.0,0.115693356,0.05,0.2
poi-2.0,0.115693356,0.05,0.15
poi-2.0,0.115693356,0.05,0.1
poi-2.0,0.115693356,0.05,0.05
poi-2.0,0.117120348,0.05,0
synapse-1.1,0.212912421,0.05,0.95
synapse-1.1,0.180211778,0.05,0.9
synapse-1.1,0.208458397,0.01,0.85
synapse-1.1,0.251167103,0.01,0.8
synapse-1.1,0.267111746,0.01,0.75
synapse-1.1,0.265618966,0.01,0.7
synapse-1.1,0.2782775,0.01,0.65
synapse-1.1,0.2782775,0.01,0.6
synapse-1.1,0.2782775,0.01,0.55
synapse-1.1,0.2782775,0.01,0.5
synapse-1.1,0.2782775,0.01,0.45
synapse-1.1,0.2782775,0.01,0.4
synapse-1.1,0.2782775,0.01,0.35
synapse-1.1,0.2782775,0.01,0.3
synapse-1.1,0.2782775,0.01,0.25
synapse-1.1,0.2782775,0.01,0.2
synapse-1.1,0.2782775,0.01,0.15
synapse-1.1,0.2782775,0.01,0.1
synapse-1.1,0.2782775,0.01,0.05
synapse-1.1,0.23309024,0.01,0
xerces-1.2,-0.019487431,None,0.95
xerces-1.2,-0.00665688,None,0.9
xerces-1.2,-0.00959509,None,0.85
xerces-1.2,0.003852524,None,0.8
xerces-1.2,0.010586994,None,0.75
xerces-1.2,0.01469446,None,0.7
xerces-1.2,0.014958731,None,0.65
xerces-1.2,0.014958731,None,0.6
xerces-1.2,0.0135823,None,0.55
xerces-1.2,0.010575274,None,0.5
xerces-1.2,0.010575274,None,0.45
xerces-1.2,0.010575274,None,0.4
xerces-1.2,0.010575274,None,0.35
xerces-1.2,0.010575274,None,0.3
xerces-1.2,0.010575274,None,0.25
xerces-1.2,0.010575274,None,0.2
xerces-1.2,0.010575274,None,0.15
xerces-1.2,0.010575274,None,0.1
xerces-1.2,0.010575274,None,0.05
xerces-1.2,0.006258577,None,0
